1549058812, 01/02/2019, 12:06:52, IGUA_004, cash, 000000, 50, 1076
1549059774, 01/02/2019, 12:22:54, IGUA_004, cash, 000000, 20, 431
1549061624, 01/02/2019, 12:53:44, IGUA_004, cash, 000000, 10, 242
1549061693, 01/02/2019, 12:54:53, IGUA_004, cash, 000000, 20, 461
1549061745, 01/02/2019, 12:55:45, IGUA_004, cash, 000000, 10, 191
1549065333, 01/02/2019, 13:55:33, IGUA_004, cash, 000000, 100, 2050
1549066053, 01/02/2019, 14:07:33, IGUA_004, cash, 000000, 20, 412
1549066158, 01/02/2019, 14:09:18, IGUA_004, cash, 000000, 30, 611
1549067169, 01/02/2019, 14:26:09, IGUA_004, cash, 000000, 20, 419
1549068636, 01/02/2019, 14:50:36, IGUA_004, cash, 000000, 100, 2019
1549074792, 01/02/2019, 16:33:12, IGUA_004, cash, 000000, 100, 2028
1549074918, 01/02/2019, 16:35:18, IGUA_004, cash, 000000, 130, 2626
1549074992, 01/02/2019, 16:36:32, IGUA_004, cash, 000000, 50, 562
1549077179, 01/02/2019, 17:12:59, IGUA_004, cash, 000000, 10, 231
1549077201, 01/02/2019, 17:13:21, IGUA_004, cash, 000000, 10, 213
1549077344, 01/02/2019, 17:15:44, IGUA_004, cash, 000000, 20, 420
1549077363, 01/02/2019, 17:16:03, IGUA_004, cash, 000000, 10, 211
1549083908, 01/02/2019, 19:05:08, IGUA_004, cash, 000000, 10, 230
1549086213, 01/02/2019, 19:43:33, IGUA_004, cash, 000000, 20, 429
1549086700, 01/02/2019, 19:51:40, IGUA_004, cash, 000000, 100, 1858
1549087327, 01/02/2019, 20:02:07, IGUA_004, cash, 000000, 30, 626
1549089686, 01/02/2019, 20:41:26, IGUA_004, cash, 000000, 20, 420
1549090378, 01/02/2019, 20:52:58, IGUA_004, cash, 000000, 50, 626
1549091166, 01/02/2019, 21:06:06, IGUA_004, cash, 000000, 200, 735
1549141224, 02/02/2019, 11:00:24, IGUA_004, cash, 000000, 50, 1091
1549147032, 02/02/2019, 12:37:12, IGUA_004, cash, 000000, 100, 2049
1549153762, 02/02/2019, 14:29:22, IGUA_004, cash, 000000, 50, 1026
1549161598, 02/02/2019, 16:39:58, IGUA_004, cash, 000000, 50, 744
1549165248, 02/02/2019, 17:40:48, IGUA_004, cash, 000000, 50, 1091
1549168120, 02/02/2019, 18:28:40, IGUA_004, cash, 000000, 20, 432
1549169760, 02/02/2019, 18:56:00, IGUA_004, cash, 000000, 30, 626
1549171188, 02/02/2019, 19:19:48, IGUA_004, cash, 000000, 10, 229
1549171212, 02/02/2019, 19:20:12, IGUA_004, cash, 000000, 10, 257
1549178789, 02/02/2019, 21:26:29, IGUA_004, cash, 000000, 10, 241
1549178818, 02/02/2019, 21:26:58, IGUA_004, cash, 000000, 10, 231
1549180966, 02/02/2019, 22:02:46, IGUA_004, cash, 000000, 20, 416
1549181479, 02/02/2019, 22:11:19, IGUA_004, cash, 000000, 50, 1237
1549181777, 02/02/2019, 22:16:17, IGUA_004, cash, 000000, 50, 1018
1549182513, 02/02/2019, 22:28:33, IGUA_004, cash, 000000, 50, 1018
1549182546, 02/02/2019, 22:29:06, IGUA_004, cash, 000000, 50, 1012
1549182590, 02/02/2019, 22:29:50, IGUA_004, cash, 000000, 50, 1033
1549182628, 02/02/2019, 22:30:28, IGUA_004, cash, 000000, 50, 1015
1549182647, 02/02/2019, 22:30:47, IGUA_004, cash, 000000, 20, 412
1549233294, 03/02/2019, 12:34:54, IGUA_004, cash, 000000, 30, 618
1549236309, 03/02/2019, 13:25:09, IGUA_004, cash, 000000, 30, 550
1549241986, 03/02/2019, 14:59:46, IGUA_004, cash, 000000, 30, 629
1549242175, 03/02/2019, 15:02:55, IGUA_004, cash, 000000, 150, 3042
1549313261, 04/02/2019, 10:47:42, IGUA_004, cash, 000000, 10, 271
1549313323, 04/02/2019, 10:48:43, IGUA_004, cash, 000000, 20, 201
1549313415, 04/02/2019, 10:50:15, IGUA_004, cash, 000000, 10, 252
1549316722, 04/02/2019, 11:45:22, IGUA_004, cash, 000000, 50, 1034
1549318790, 04/02/2019, 12:19:50, IGUA_004, cash, 000000, 20, 411
1549325246, 04/02/2019, 14:07:26, IGUA_004, cash, 000000, 40, 813
1549328671, 04/02/2019, 15:04:31, IGUA_004, cash, 000000, 30, 612
1549336674, 04/02/2019, 17:17:54, IGUA_004, cash, 000000, 30, 499
1549336751, 04/02/2019, 17:19:11, IGUA_004, cash, 000000, 20, 435
1549337322, 04/02/2019, 17:28:42, IGUA_004, cash, 000000, 30, 615
1549337872, 04/02/2019, 17:37:52, IGUA_004, cash, 000000, 20, 285
1549341148, 04/02/2019, 18:32:28, IGUA_004, cash, 000000, 200, 691
1549341707, 04/02/2019, 18:41:47, IGUA_004, cash, 000000, 20, 441
1549342414, 04/02/2019, 18:53:34, IGUA_004, cash, 000000, 50, 1026
1549346460, 04/02/2019, 20:01:00, IGUA_004, cash, 000000, 50, 1012
1549347739, 04/02/2019, 20:22:19, IGUA_004, cash, 000000, 50, 1059
1549349572, 04/02/2019, 20:52:52, IGUA_004, cash, 000000, 100, 1818
1549352458, 04/02/2019, 21:40:58, IGUA_004, cash, 000000, 50, 1047
1549352673, 04/02/2019, 21:44:33, IGUA_004, cash, 000000, 200, 784
1549401926, 05/02/2019, 11:25:27, IGUA_004, cash, 000000, 20, 426
1549422241, 05/02/2019, 17:04:01, IGUA_004, cash, 000000, 30, 625
1549424688, 05/02/2019, 17:44:48, IGUA_004, cash, 000000, 30, 633
1549429507, 05/02/2019, 19:05:07, IGUA_004, cash, 000000, 100, 2017
1549429551, 05/02/2019, 19:05:51, IGUA_004, cash, 000000, 50, 1013
1549429581, 05/02/2019, 19:06:21, IGUA_004, cash, 000000, 50, 1013
1549429599, 05/02/2019, 19:06:39, IGUA_004, cash, 000000, 20, 417
1549429641, 05/02/2019, 19:07:21, IGUA_004, cash, 000000, 50, 1031
1549429667, 05/02/2019, 19:07:47, IGUA_004, cash, 000000, 40, 814
1549429689, 05/02/2019, 19:08:09, IGUA_004, cash, 000000, 20, 417
1549431130, 05/02/2019, 19:32:10, IGUA_004, cash, 000000, 40, 828
1549434616, 05/02/2019, 20:30:16, IGUA_004, cash, 000000, 50, 1032
1549434647, 05/02/2019, 20:30:47, IGUA_004, cash, 000000, 10, 248
1549435365, 05/02/2019, 20:42:45, IGUA_004, cash, 000000, 50, 1029
1549435972, 05/02/2019, 20:52:52, IGUA_004, cash, 000000, 60, 1213
1549436910, 05/02/2019, 21:08:30, IGUA_004, cash, 000000, 30, 614
1549437904, 05/02/2019, 21:25:04, IGUA_004, cash, 000000, 50, 1011
1549483151, 06/02/2019, 09:59:11, IGUA_004, cash, 000000, 100, 2077
1549493716, 06/02/2019, 12:55:16, IGUA_004, cash, 000000, 50, 1028
1549504121, 06/02/2019, 15:48:41, IGUA_004, cash, 000000, 50, 942
1549505830, 06/02/2019, 16:17:10, IGUA_004, cash, 000000, 20, 458
1549505872, 06/02/2019, 16:17:52, IGUA_004, cash, 000000, 20, 420
1549514070, 06/02/2019, 18:34:30, IGUA_004, cash, 000000, 10, 228
1549514102, 06/02/2019, 18:35:02, IGUA_004, cash, 000000, 20, 445
1549518219, 06/02/2019, 19:43:39, IGUA_004, cash, 000000, 100, 2012
1549518367, 06/02/2019, 19:46:07, IGUA_004, cash, 000000, 100, 2016
1549519875, 06/02/2019, 20:11:15, IGUA_004, cash, 000000, 50, 1011
1549523343, 06/02/2019, 21:09:03, IGUA_004, cash, 000000, 50, 745
1549523746, 06/02/2019, 21:15:46, IGUA_004, cash, 000000, 40, 832
1549526142, 06/02/2019, 21:55:43, IGUA_004, cash, 000000, 200, 584
1549527670, 06/02/2019, 22:21:10, IGUA_004, cash, 000000, 50, 1057
1549527745, 06/02/2019, 22:22:25, IGUA_004, cash, 000000, 100, 2011
1549530074, 06/02/2019, 23:01:14, IGUA_004, cash, 000000, 10, 217
1549530324, 06/02/2019, 23:05:24, IGUA_004, cash, 000000, 50, 952
1549569814, 07/02/2019, 10:03:34, IGUA_004, cash, 000000, 50, 1044
1549581055, 07/02/2019, 13:10:55, IGUA_004, cash, 000000, 100, 2012
1549583901, 07/02/2019, 13:58:21, IGUA_004, cash, 000000, 30, 611
1549586315, 07/02/2019, 14:38:35, IGUA_004, cash, 000000, 50, 1035
1549586658, 07/02/2019, 14:44:18, IGUA_004, cash, 000000, 10, 230
1549586835, 07/02/2019, 14:47:15, IGUA_004, cash, 000000, 10, 232
1549586854, 07/02/2019, 14:47:34, IGUA_004, cash, 000000, 10, 249
1549590806, 07/02/2019, 15:53:26, IGUA_004, cash, 000000, 50, 471
1549590855, 07/02/2019, 15:54:15, IGUA_004, cash, 000000, 30, 632
1549595044, 07/02/2019, 17:04:04, IGUA_004, cash, 000000, 10, 213
1549595082, 07/02/2019, 17:04:42, IGUA_004, cash, 000000, 10, 145
1549597221, 07/02/2019, 17:40:21, IGUA_004, cash, 000000, 10, 247
1549597439, 07/02/2019, 17:43:59, IGUA_004, cash, 000000, 10, 231
1549597496, 07/02/2019, 17:44:56, IGUA_004, cash, 000000, 20, 420
1549599539, 07/02/2019, 18:18:59, IGUA_004, cash, 000000, 50, 1025
1549599651, 07/02/2019, 18:20:51, IGUA_004, cash, 000000, 50, 1048
1549600428, 07/02/2019, 18:33:48, IGUA_004, cash, 000000, 50, 1026
1549601500, 07/02/2019, 18:51:40, IGUA_004, cash, 000000, 70, 1418
