1545455904, 21/12/2018, 19:18:25, IGUA_002, cash, 000000, 10, 23
1545529844, 22/12/2018, 15:50:45, IGUA_002, cash, 000000, 30, 644
1545536020, 22/12/2018, 17:33:40, IGUA_002, cash, 000000, 100, 2230
1545589813, 23/12/2018, 08:30:13, IGUA_002, cash, 000000, 50, 1012
1545589846, 23/12/2018, 08:30:46, IGUA_002, cash, 000000, 10, 212
1545589860, 23/12/2018, 08:31:00, IGUA_002, cash, 000000, 10, 226
1545591362, 23/12/2018, 08:56:02, IGUA_002, cash, 000000, 20, 425
1545591383, 23/12/2018, 08:56:23, IGUA_002, cash, 000000, 10, 215
1545591398, 23/12/2018, 08:56:38, IGUA_002, cash, 000000, 10, 219
1545591418, 23/12/2018, 08:56:58, IGUA_002, cash, 000000, 10, 215
1545591434, 23/12/2018, 08:57:14, IGUA_002, cash, 000000, 10, 220
1545592394, 23/12/2018, 09:13:14, IGUA_002, cash, 000000, 50, 757
1545593009, 23/12/2018, 09:23:29, IGUA_002, cash, 000000, 10, 233
1545593028, 23/12/2018, 09:23:48, IGUA_002, cash, 000000, 10, 213
1545601464, 23/12/2018, 11:44:24, IGUA_002, cash, 000000, 100, 988
1545609444, 23/12/2018, 13:57:24, IGUA_002, cash, 000000, 30, 628
1545686056, 24/12/2018, 11:14:16, IGUA_002, cash, 000000, 50, 977
1545686178, 24/12/2018, 11:16:18, IGUA_002, cash, 000000, 10, 248
1545687946, 24/12/2018, 11:45:46, IGUA_002, cash, 000000, 20, 412
1545687960, 24/12/2018, 11:46:00, IGUA_002, cash, 000000, 10, 213
1545687969, 24/12/2018, 11:46:09, IGUA_002, cash, 000000, 10, 212
1545847766, 26/12/2018, 08:09:26, IGUA_002, cash, 000000, 50, 1011
1545847802, 26/12/2018, 08:10:02, IGUA_002, cash, 000000, 20, 427
1545865209, 26/12/2018, 13:00:09, IGUA_002, cash, 000000, 50, 1056
1545866001, 26/12/2018, 13:13:21, IGUA_002, cash, 000000, 50, 743
1545869347, 26/12/2018, 14:09:07, IGUA_002, cash, 000000, 20, 431
1545877150, 26/12/2018, 16:19:10, IGUA_002, cash, 000000, 50, 1493
1545881141, 26/12/2018, 17:25:41, IGUA_002, cash, 000000, 40, 669
1545882090, 26/12/2018, 17:41:30, IGUA_002, cash, 000000, 50, 170
1545886667, 26/12/2018, 18:57:47, IGUA_002, cash, 000000, 20, 358
1545943532, 27/12/2018, 10:45:32, IGUA_002, cash, 000000, 50, 976
1545945177, 27/12/2018, 11:12:57, IGUA_002, cash, 000000, 10, 244
1545952114, 27/12/2018, 13:08:34, IGUA_002, cash, 000000, 50, 1041
1545958998, 27/12/2018, 15:03:18, IGUA_002, cash, 000000, 20, 411
1545962754, 27/12/2018, 16:05:54, IGUA_002, cash, 000000, 10, 227
1545962778, 27/12/2018, 16:06:18, IGUA_002, cash, 000000, 10, 211
1545962818, 27/12/2018, 16:06:58, IGUA_002, cash, 000000, 10, 210
1545962833, 27/12/2018, 16:07:13, IGUA_002, cash, 000000, 10, 211
1545963177, 27/12/2018, 16:12:57, IGUA_002, cash, 000000, 10, 211
1545963197, 27/12/2018, 16:13:17, IGUA_002, cash, 000000, 10, 234
1545964463, 27/12/2018, 16:34:23, IGUA_002, cash, 000000, 50, 974
1545964857, 27/12/2018, 16:40:57, IGUA_002, cash, 000000, 10, 167
1545966984, 27/12/2018, 17:16:24, IGUA_002, cash, 000000, 50, 863
1546031779, 28/12/2018, 11:16:20, IGUA_002, cash, 000000, 30, 629
1546037930, 28/12/2018, 12:58:50, IGUA_002, cash, 000000, 60, 1261
1546039168, 28/12/2018, 13:19:28, IGUA_002, cash, 000000, 10, 212
1546039187, 28/12/2018, 13:19:47, IGUA_002, cash, 000000, 10, 216
1546039683, 28/12/2018, 13:28:03, IGUA_002, cash, 000000, 50, 1269
1546040679, 28/12/2018, 13:44:39, IGUA_002, cash, 000000, 20, 429
1546042957, 28/12/2018, 14:22:37, IGUA_002, cash, 000000, 200, 993
1546046693, 28/12/2018, 15:24:53, IGUA_002, cash, 000000, 50, 1042
1546055600, 28/12/2018, 17:53:20, IGUA_002, cash, 000000, 50, 1013
1546059378, 28/12/2018, 18:56:18, IGUA_002, cash, 000000, 10, 211
1546059406, 28/12/2018, 18:56:46, IGUA_002, cash, 000000, 10, 216
1546118535, 29/12/2018, 11:22:15, IGUA_002, cash, 000000, 50, 1086
