1545198065, 18/12/2018, 19:41:06, IGUA_003, cash, 000000, 50, 1026
1545198158, 18/12/2018, 19:42:38, IGUA_003, cash, 000000, 50, 1023
1545203721, 18/12/2018, 21:15:21, IGUA_003, cash, 000000, 50, 1046
1545210571, 18/12/2018, 23:09:31, IGUA_003, cash, 000000, 100, 2013
1545210609, 18/12/2018, 23:10:09, IGUA_003, cash, 000000, 100, 2018
1545210809, 18/12/2018, 23:13:29, IGUA_003, cash, 000000, 200, 150
1545242885, 19/12/2018, 08:08:05, IGUA_003, cash, 000000, 50, 2402
1545246350, 19/12/2018, 09:05:50, IGUA_003, cash, 000000, 200, 1309
1545247745, 19/12/2018, 09:29:05, IGUA_003, cash, 000000, 30, 641
1545249089, 19/12/2018, 09:51:29, IGUA_003, cash, 000000, 20, 428
1545251264, 19/12/2018, 10:27:44, IGUA_003, cash, 000000, 50, 1010
1545251709, 19/12/2018, 10:35:09, IGUA_003, cash, 000000, 10, 241
1545252140, 19/12/2018, 10:42:20, IGUA_003, cash, 000000, 50, 1099
1545253514, 19/12/2018, 11:05:14, IGUA_003, cash, 000000, 50, 1055
1545257470, 19/12/2018, 12:11:10, IGUA_003, cash, 000000, 30, 636
1545259296, 19/12/2018, 12:41:36, IGUA_003, cash, 000000, 20, 433
1545259576, 19/12/2018, 12:46:16, IGUA_003, cash, 000000, 30, 624
1545260135, 19/12/2018, 12:55:35, IGUA_003, cash, 000000, 50, 2401
1545260222, 19/12/2018, 12:57:02, IGUA_003, cash, 000000, 50, 1011
1545260249, 19/12/2018, 12:57:29, IGUA_003, cash, 000000, 20, 452
1545260375, 19/12/2018, 12:59:35, IGUA_003, cash, 000000, 30, 631
1545264076, 19/12/2018, 14:01:16, IGUA_003, cash, 000000, 50, 1022
1545265487, 19/12/2018, 14:24:47, IGUA_003, cash, 000000, 50, 1029
1545265684, 19/12/2018, 14:28:04, IGUA_003, cash, 000000, 50, 1035
1545265771, 19/12/2018, 14:29:31, IGUA_003, cash, 000000, 50, 989
1545268899, 19/12/2018, 15:21:39, IGUA_003, cash, 000000, 50, 1029
1545268991, 19/12/2018, 15:23:11, IGUA_003, cash, 000000, 200, 708
1545272486, 19/12/2018, 16:21:26, IGUA_003, cash, 000000, 200, 2028
1545278174, 19/12/2018, 17:56:14, IGUA_003, cash, 000000, 20, 440
1545279581, 19/12/2018, 18:19:41, IGUA_003, cash, 000000, 20, 426
1545279823, 19/12/2018, 18:23:43, IGUA_003, cash, 000000, 50, 1081
1545280934, 19/12/2018, 18:42:14, IGUA_003, cash, 000000, 50, 1033
1545282342, 19/12/2018, 19:05:42, IGUA_003, cash, 000000, 50, 1048
1545283103, 19/12/2018, 19:18:23, IGUA_003, cash, 000000, 50, 1014
1545285246, 19/12/2018, 19:54:06, IGUA_003, cash, 000000, 20, 428
1545285832, 19/12/2018, 20:03:52, IGUA_003, cash, 000000, 50, 1187
1545328854, 20/12/2018, 08:00:54, IGUA_003, cash, 000000, 20, 438
1545331618, 20/12/2018, 08:46:58, IGUA_003, cash, 000000, 100, 2021
1545331648, 20/12/2018, 08:47:28, IGUA_003, cash, 000000, 100, 2018
1545332265, 20/12/2018, 08:57:45, IGUA_003, cash, 000000, 30, 612
1545332729, 20/12/2018, 09:05:29, IGUA_003, cash, 000000, 50, 1044
1545333916, 20/12/2018, 09:25:16, IGUA_003, cash, 000000, 50, 1030
1545333926, 20/12/2018, 09:25:26, IGUA_003, cash, 000000, 10, 225
1545333933, 20/12/2018, 09:25:33, IGUA_003, cash, 000000, 10, 221
